"Rank","Name","Platform","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales"
5,"Pokemon Red/Pokemon Blue","GB","1996","Role-Playing","Nintendo",11.27,8.89,10.22,1,31.37
6,"Tetris","GB","1989","Puzzle","Nintendo",23.2,2.26,4.22,0.58,30.26
7,"New Super Mario Bros.","DS","2006","Platform","Nintendo",11.38,9.23,6.5,2.9,30.01
11,"Nintendogs","DS","2005","Simulation","Nintendo",9.07,11,1.93,2.75,24.76
12,"Mario Kart DS","DS","2005","Racing","Nintendo",9.81,7.57,4.13,1.92,23.42
13,"Pokemon Gold/Pokemon Silver","GB","1999","Role-Playing","Nintendo",9,6.18,7.2,0.71,23.1
20,"Brain Age: Train Your Brain in Minutes a Day","DS","2005","Misc","Nintendo",4.75,9.26,4.16,2.05,20.22
21,"Pokemon Diamond/Pokemon Pearl","DS","2006","Role-Playing","Nintendo",6.42,4.52,6.04,1.37,18.36
22,"Super Mario Land","GB","1989","Platform","Nintendo",10.83,2.71,4.18,0.42,18.14
26,"Pokemon Ruby/Pokemon Sapphire","GBA","2002","Role-Playing","Nintendo",6.06,3.9,5.38,0.5,15.85
27,"Pokemon Black/Pokemon White","DS","2010","Role-Playing","Nintendo",5.57,3.28,5.65,0.82,15.32
28,"Brain Age 2: More Training in Minutes a Day","DS","2005","Puzzle","Nintendo",3.44,5.36,5.32,1.18,15.3
31,"Pokémon Yellow: Special Pikachu Edition","GB","1998","Role-Playing","Nintendo",5.89,5.04,3.12,0.59,14.64
33,"Pokemon X/Pokemon Y","3DS","2013","Role-Playing","Nintendo",5.17,4.05,4.34,0.79,14.35
42,"Animal Crossing: Wild World","DS","2005","Simulation","Nintendo",2.55,3.52,5.33,0.88,12.27
43,"Mario Kart 7","3DS","2011","Racing","Nintendo",4.74,3.91,2.67,0.89,12.21
46,"Pokemon HeartGold/Pokemon SoulSilver","DS","2009","Action","Nintendo",4.4,2.77,3.96,0.77,11.9
50,"Pokemon Omega Ruby/Pokemon Alpha Sapphire","3DS","2014","Role-Playing","Nintendo",4.23,3.37,3.08,0.65,11.33
51,"Super Mario Land 2: 6 Golden Coins","GB","1992","Adventure","Nintendo",6.16,2.04,2.69,0.29,11.18
54,"Super Mario 3D Land","3DS","2011","Platform","Nintendo",4.89,2.99,2.13,0.78,10.79
59,"Pokemon FireRed/Pokemon LeafGreen","GBA","2004","Role-Playing","Nintendo",4.34,2.65,3.15,0.35,10.49
60,"Super Mario 64","DS","2004","Platform","Nintendo",5.08,3.11,1.25,0.98,10.42
65,"New Super Mario Bros. 2","3DS","2012","Platform","Nintendo",3.66,3.07,2.47,0.63,9.82
74,"Animal Crossing: New Leaf","3DS","2012","Simulation","Nintendo",2.01,2.32,4.36,0.41,9.09
75,"Mario Party DS","DS","2007","Misc","Nintendo",4.46,1.88,1.98,0.7,9.02
82,"Pokemon Black 2/Pokemon White 2","DS","2012","Role-Playing","Nintendo",2.91,1.86,3.14,0.43,8.33
89,"Pokémon Platinum Version","DS","2008","Role-Playing","Nintendo",2.82,1.78,2.69,0.55,7.84
91,"Grand Theft Auto: Liberty City Stories","PSP","2005","Action","Take-Two Interactive",2.9,2.83,0.24,1.75,7.72
98,"Super Smash Bros. for Wii U and 3DS","3DS","2014","Fighting","Nintendo",3.24,1.35,2.42,0.43,7.45
123,"Big Brain Academy","DS","2005","Misc","Nintendo",1.67,2.78,1.6,0.62,6.67
131,"Pokémon Emerald Version","GBA","2004","Role-Playing","Nintendo",2.57,1.58,2.06,0.21,6.41
133,"Pokémon Crystal Version","GB","2000","Role-Playing","Nintendo",2.55,1.56,1.29,0.99,6.39
150,"Dragon Quest IX: Sentinels of the Starry Skies","DS","2009","Role-Playing","Nintendo",0.66,0.69,4.35,0.15,5.84
154,"Cooking Mama","DS","2006","Simulation","505 Games",3.13,1.94,0.07,0.58,5.72
162,"Monster Hunter Freedom Unite","PSP","2008","Role-Playing","Capcom",0.47,0.57,4.13,0.34,5.5
163,"Super Mario Advance","GBA","2001","Platform","Nintendo",3.14,1.24,0.91,0.2,5.49
164,"Mario Kart: Super Circuit","GBA","2001","Racing","Nintendo",2.62,1.64,0.99,0.23,5.47
165,"Super Mario World","GBA","2001","Platform","Nintendo",3.21,1.11,0.95,0.2,5.46
171,"Dr. Mario","GB","1989","Puzzle","Nintendo",2.18,0.96,2,0.2,5.34
172,"Pokemon Pinball","GB","1999","Misc","Nintendo",3.02,1.12,1.01,0.16,5.31
178,"Professor Layton and the Curious Village","DS","2007","Puzzle","Nintendo",1.22,2.48,1.03,0.52,5.26
183,"Super Mario Bros. 3","GBA","2003","Platform","Nintendo",2.93,1.25,0.83,0.2,5.2
185,"Super Mario Land 3: Wario Land","GB","1994","Platform","Nintendo",2.49,0.98,1.57,0.15,5.19
187,"The Legend of Zelda: Phantom Hourglass","DS","2007","Action","Nintendo",1.9,1.83,0.95,0.49,5.17
189,"Tomodachi Life","3DS","2013","Simulation","Nintendo",0.96,2.02,1.89,0.28,5.15
190,"Mario & Sonic at the Olympic Games","DS","2008","Sports","Sega",1.64,2.48,0.44,0.58,5.14
192,"Kirby's Dream Land","GB","1992","Platform","Nintendo",2.71,0.61,1.7,0.11,5.13
199,"Grand Theft Auto: Vice City Stories","PSP","2006","Action","Take-Two Interactive",1.7,2.02,0.16,1.21,5.08
201,"Super Mario Bros.","GB","1999","Platform","Nintendo",3.4,1.3,0.15,0.22,5.07
210,"Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness","DS","2007","Role-Playing","Nintendo",1.85,1.2,1.54,0.37,4.96
213,"LEGO Star Wars: The Complete Saga","DS","2007","Action","LucasArts",2.89,1.54,0,0.46,4.9
215,"Monster Hunter Freedom 3","PSP","2010","Role-Playing","Capcom",0,0,4.87,0,4.87
235,"Luigi's Mansion: Dark Moon","3DS","2013","Action","Nintendo",1.78,1.39,1.1,0.3,4.58
265,"Namco Museum","GBA","2001","Misc","Namco Bandai Games",3,1.11,0.05,0.07,4.24
267,"Daxter","PSP","2006","Platform","Sony Computer Entertainment",2.45,1.02,0,0.75,4.22
269,"The Legend of Zelda: Ocarina of Time","3DS","2011","Action","Nintendo",2.03,1.27,0.62,0.3,4.21
301,"Professor Layton and the Diabolical Box","DS","2007","Puzzle","Nintendo",0.92,1.78,0.92,0.37,4
306,"Donkey Kong Land","GB","1994","Platform","Nintendo",1.97,0.76,1.07,0.11,3.91
309,"Monster Hunter 4 Ultimate","3DS","2014","Role-Playing","Nintendo",0.67,0.49,2.62,0.11,3.89
317,"Flash Focus: Vision Training in Minutes a Day","DS","2007","Misc","Nintendo",0.87,1.57,1.05,0.35,3.84
319,"The Legend of Zelda: Link's Awakening","GB","1992","Action","Nintendo",2.21,0.96,0.54,0.13,3.83
320,"Mario & Luigi: Bowser's Inside Story","DS","2009","Role-Playing","Nintendo",2.26,0.48,0.81,0.27,3.83
322,"Nintendogs + cats","3DS","2011","Simulation","Nintendo",1.44,1.37,0.73,0.27,3.81
327,"Ratchet & Clank: Size Matters","PSP","2007","Platform","Sony Computer Entertainment",1.4,1.4,0.1,0.87,3.77
336,"Pokémon Trading Card Game","GB","1998","Strategy","Nintendo",1.49,0.73,1.38,0.1,3.7
338,"MySims","DS","2007","Simulation","Electronic Arts",1.59,1.61,0.08,0.41,3.69
339,"Friend Collection","DS","2009","Misc","Nintendo",0,0,3.67,0,3.67
341,"Midnight Club 3: DUB Edition","PSP","2005","Racing","Take-Two Interactive",1.65,1.22,0,0.79,3.66
356,"Cooking Mama 2: Dinner With Friends","DS","2007","Simulation","505 Games",1.61,1.5,0.1,0.39,3.61
371,"Mario & Sonic at the Olympic Winter Games","DS","2009","Sports","Sega",1.22,1.66,0.27,0.38,3.52
377,"Clubhouse Games","DS","2006","Misc","Nintendo",0.59,1.83,0.73,0.35,3.5
381,"Guitar Hero: On Tour","DS","2008","Misc","Activision",2.11,1.01,0.01,0.35,3.48
384,"Monster Hunter 4","3DS","2013","Role-Playing","Capcom",0,0,3.44,0,3.44
392,"F-1 Race","GB","1990","Racing","Nintendo",1.73,0.69,0.59,0.4,3.41
397,"The Legend of Zelda: Spirit Tracks","DS","2009","Action","Nintendo",1.43,0.94,0.74,0.27,3.38
400,"Professor Layton and the Unwound Future","DS","2008","Puzzle","Nintendo",0.65,1.61,0.82,0.28,3.36
403,"English Training: Have Fun Improving Your Skills!","DS","2006","Misc","Nintendo",0,0.99,2.32,0.02,3.33
414,"Gran Turismo (PSP)","PSP","2009","Racing","Sony Computer Entertainment",0.5,1.59,0.31,0.87,3.27
415,"Monster Hunter X","3DS","2015","Action","Capcom",0.25,0.19,2.78,0.04,3.26
420,"Yokai Watch 2 Ganso/Honke","3DS","2014","Role-Playing","Nintendo",0.03,0,3.18,0,3.22
425,"Crisis Core: Final Fantasy VII","PSP","2007","Role-Playing","Square Enix",1.35,0.6,0.8,0.44,3.19
426,"God of War: Chains of Olympus","PSP","2008","Action","Sony Computer Entertainment",1.48,1.01,0.04,0.66,3.19
433,"Rhythm Heaven","DS","2008","Misc","Nintendo",0.58,0.51,1.93,0.14,3.17
435,"Club Penguin: Elite Penguin Force","DS","2008","Adventure","Disney Interactive Studios",1.88,0.98,0,0.3,3.16
437,"LEGO Batman: The Videogame","DS","2008","Action","Warner Bros. Interactive Entertainment",1.79,1.06,0,0.29,3.15
438,"Sonic Rush","DS","2005","Platform","Sega",1.22,1.57,0.06,0.29,3.15
445,"Personal Trainer: Cooking","DS","2006","Misc","Nintendo",0.91,1,1.03,0.17,3.12
455,"The Legend of Zelda: A Link Between Worlds","3DS","2013","Action","Nintendo",1.4,0.99,0.46,0.22,3.07
456,"Donkey Kong","GB","1994","Platform","Nintendo",1.57,0.62,0.55,0.34,3.07
477,"Animal Crossing: Happy Home Designer","3DS","2015","Simulation","Nintendo",0.47,1,1.39,0.12,2.98
482,"Kirby Super Star Ultra","DS","2008","Platform","Nintendo",1.57,0.04,1.19,0.15,2.96
489,"Pac-Man Collection","GBA","2001","Puzzle","Atari",2.07,0.77,0.05,0.05,2.94
493,"Super Mario World 2: Yoshi's Island","GBA","2002","Platform","Nintendo",1.75,0.45,0.62,0.09,2.91
504,"Imagine: Babyz","DS","2007","Simulation","Ubisoft",1.3,1.27,0,0.31,2.88
521,"Finding Nemo","GBA","2003","Action","THQ",1.59,1.05,0.04,0.14,2.82
524,"Imagine: Fashion Designer","DS","2007","Simulation","Ubisoft",1.32,1.19,0,0.3,2.81
527,"Yoshi's Island DS","DS","2006","Platform","Nintendo",1.47,0.07,1.1,0.15,2.8
536,"Professor Layton and the Last Specter","DS","2009","Puzzle","Nintendo",0.3,1.47,0.68,0.34,2.79
537,"Monster Hunter Tri","3DS","2011","Role-Playing","Nintendo",0.46,0.29,1.96,0.07,2.79
552,"The Legend of Zelda: A Link to the Past","GBA","2002","Action","Nintendo",1.75,0.52,0.33,0.1,2.7
559,"Mario vs. Donkey Kong: Mini-Land Mayhem!","DS","2010","Puzzle","Nintendo",1.63,0.52,0.35,0.18,2.69
562,"Yokai Watch 2 Shinuchi","3DS","2014","Role-Playing","Level 5",0,0,2.68,0,2.68
570,"Hannah Montana","DS","2006","Action","Disney Interactive Studios",1.59,0.8,0,0.26,2.65
573,"Medal of Honor Heroes","PSP","2006","Shooter","Electronic Arts",0.86,1.11,0.01,0.66,2.65
578,"Pac-Man: Adventures in Time","PSP","2006","Fighting","Sony Computer Entertainment",0.76,1.1,0.12,0.65,2.63
586,"Style Savvy","DS","2008","Simulation","Nintendo",0.63,0.84,0.96,0.19,2.61
593,"LittleBigPlanet","PSP","2009","Platform","Sony Computer Entertainment",0.64,1.24,0.01,0.69,2.58
596,"Monster Hunter Freedom 2","PSP","2007","Role-Playing","Capcom",0.37,0.27,1.75,0.18,2.58
599,"Art Academy","DS","2010","Misc","Nintendo",0.28,1.68,0.33,0.28,2.57
634,"Need for Speed Carbon: Own the City","PSP","2006","Racing","Electronic Arts",0.87,0.98,0,0.59,2.44
650,"Frogger's Adventures: Temple of the Frog","GBA","N/A","Adventure","Konami Digital Entertainment",2.15,0.18,0,0.07,2.39
672,"Kirby's Dream Land 2","GB","1995","Platform","Nintendo",0.69,0.14,1.48,0.05,2.36
